,EWE,ENGLISH
0,"Ne nyɔnu aɖe le evi dzim eye wo le kukum nɛ la, o wɔna kɔnu na ɖevi yeye si wo ga dzi la, to ŋkɔ bubu tsɔtsɔ nɛ la me, bena ɖevi yeyela me ga ku ke o.
","﻿If a woman often loss his baby after he is born, people make a kind of ceremony for the new one born, and this ceremony is about giving to the new baby another name that help the newest stay alive."
1,"Ŋkɔ sia nye na ŋkɔ si ke ame bubu tsɔna na ɖevia si gɔme enye be ehɔ ɖevi la ƒle le ƒomea si.
","This name comes from another person, which means that this person buys the baby from the biologic parents."
2,"Ame si hɔ ɖevi la ƒlela tsona ƒome bubu me alo dukɔ bubume alo edu bubume alo amedzro tso duta, vɔa nyui tɔ enye be amea ne nye amedzro tso duta.
","This person must not be part of the whole family of the baby, he must be from another family, another village, another city or another region or ethnical group or another country, but the best situation is when this person is from another country (foreigner)."
3,"Kɔnua wo yina ale: evinɔ si ga dzi ɖevi bubu alo evi yeye la ƒe ƒomea yina ɖe mɔdododzi, he da ɖevi yeye la ɖe mɔ dodome, he yina bena ɖe gbetime alo aveme he nɔ ŋku sam na amesi ato afima afɔ ɖevi la.
","The ceremony is done as follow: the family of the newest baby goes on the road, and leave the baby in the middle of the road (of course not the road where cars can kill the child) and goes to hide in the bush or in the forest close to the road to see who will pass through the road and take the baby."
4,"Ne ame aɖe vayina to afimagodzi he kɔ ɖevia la, le emayi me la ƒomea doa dzesi amema alo bena kplɔna neneŋ ƒe amea ɖo, ne wome dzesi o, he nyana afisi nye amedrola ƒe afeme alo afisi wo da ɖevilaɖoe.
","When somebody passes through the road and finds and takes the baby, in this time, the family notices the person and if the family doesn’t know who is it, he simply follow the person in secret to know where the person live or where the person leave the child."
5,"Emegbe la ɖevila ƒe pomea ɖona to, he tɔna tekpɔ ekpɔ dodo tso ɖevi fɔfɔ ŋti, eye ne wose kpododo tso ɖevi fɔfɔ ŋti la, enumake wo yina he gblɔna be miavie.
","After then, the family simply waiting for information about a baby find on the road, and the family goes and said it is our child."
6,"Esiao kãtã vayina le ga ƒoƒo aɖeo me.
",All this happen in some hours.
7,"Ɖevi yeye la ƒe ƒomea nana mɔnu kpɔkpɔ amesi fɔ ɖevi la be woa ɖu tɔ nɛ.
",The family gives an opportunity to the person who finds the child to be he’s second father.
8,"Le ɣemayi mela ame si fɔ ɖevila, nana ŋkɔ bubu si dzroe ɖevila, ŋkɔ sia ateŋ anyi Fɔfɔe alo Ofɔe alo Oƒle…… ne amesi fɔ ɖevi yeyela me na ŋkɔa ɖekee o.
","At this time this person gives a name he wants to the child, but this child can be named Fɔfɔe or Ofɔe or Oƒle if this person doesn’t give any name to the child."
9,"Evi fɔla si trozu ɖevila ƒe tɔ evelia la, ateŋ ne elɔla, ahɔ ɖevila ɖe eɖokui gbɔɛ le ɖevila ƒe sisime alo ɖevima ateŋ anɔ egbɔ yim le aza dzilo alo lekuhɛ me.
","This person who becomes the second father of the child has close right like the biologic parents, for instance can request to raise the child of course after some years or the child can visit him in holidays or ask for help or advice in difficult situations."
10,"Esiao wɔwɔ, hena emɔ na, eku be mega dzesi ɖevi yeye la o, elabena etɔ ŋkɔ bubu.
",This fact protect the child from the quickly death as this woman observes in the past for her babies because this baby has another name and the death can’t recognize him.
11,"Edzi edzi la kadodo nɔna ɖevila ƒe ƒomea kple ɖevila ƒe tɔ evelia dome kuɖe ɖevila ƒe nyawo ŋti.
",Time to time the biologic family and the second father discuss about some matters connected to the child.
12,"Ele be ma ɖo ŋku edzi be amesi fɔ ɖevila ɖo la nye ŋsu, ne me nye nenema ola, ele be woa ga gbugbɔ dze kɔnua gɔme.
","I have to mention that the person who finds the child must be a man another way, the ceremony must be done again in other that the person who will take the baby must be a man."
13,"(Kɔnu sia nye kɔnuaɖe si sɔkple, ne woa gblɛ kpuiɖe ko la, Moiz ƒe ŋti nyao le bibla me).
",(This ceremony is close to the history about Moses in the Bible)
14,"ETSƆ WƆWƆ LE EƲE DUKƆWOME
",FUNERAL CEREMONIES IN EWE ETHNICAL GROUPS LAND
15,"Le eʋe dukɔ wome la, etsɔ ƒe kɔnu wɔwɔwo tona vovo vɔa vovo totoa me nye enu gã aɖekeo.
","In Ewe ethnical groups, the ceremony about funerals is different, but those differences are not so important."
16,"Mia gblɛ kpo me, le afisiafi klui la, etsɔ ƒe wɔwɔ nye na ŋkunekame, vɔa akɔta aɖeo tsɔna kɔnu aɖewo kpenɛ.
","We can notice some deep ceremony in some Ewe groups, but it is just some specific add from the particular group or family."
17,"Ne nye be ameaɖe ku le ƒome aɖe me la, wo tsɔna ame kuku la yina danaɖe frigo le dɔyɔƒe si sɔ eku ƒomea be teƒe.
","When one-person die in one Ewe family, the dead family brings the dead body to the closest hospital where the family will pay for place to freeze the dead body."
18,"Ŋtilã kukula ateŋ anɔ frigo eyiyi didi aɖe alesi eku ƒomea kpɔbe yewo hiã na dzadzraɖo ne etsɔ wɔwɔ.
",This body can stay in freezer until the dead family realize that their ready to start the funerals.
19,"Emegbe la, eku ƒomea yina ɖe edumegã gbɔ he sianɛ be amekuna yewo eye wo ɖena mɔ na eku ƒomea be woateŋ aɖi ameyinugbe la le edzua ƒe ameɖibɔme me.
","Then, the family will contact with the chief of the village or of the neighbourhood if it is in the city to have an approval to bury the dead body in the village or neighbourhood cemetery."
20,"Le Kpalime nutowo mela, wo wɔna edumegã siasia sia tɔxɛ, wo ɖo ŋkɔ ne kɔnu sia be « eku tsitsi ».
","In Kpalimé region (one specific Ewe group), this approval from the chief is an important issue, they call it ""eku tsitsi "" that means information about the dead person."
21,"Eku tsitsi nye ŋdi kɔnua ɖe sime dukɔa kãtã ƒonaƒu le ekpododo megbe he sena eyiyi mablɛ ƒe nya tso eku ƒomea gbɔ kuɖe ameyinugbea ŋti.
",This ceremony is a meeting with the chief and other people living in this neighbourhood or village in which the dead family has to tell the last moment of life of the dead person.
22,"O wɔna eku tsitsi ƒe kɔnu edzi edzi le yawoɖa ƒe ŋkeke si kplɔna fiɖa fe ŋkeke si nyena ŋdɔdɔ ƒe ŋkeke la.
",This meeting hang on Thursdays that follow the Friday on which will stand the vigil.
23,"Eku tsitsi va yina alɛ ; eku ƒomea ƒoanu kuna ɖe enusi wo dedzesi be yaye wu ame la, esia ateŋ anye edɔleleaɖe, alo edzobibi alo afɔku le mɔdododzi alo le agbleme alo le edɔme.
","All the meeting start as follow; the dead family speaks about the fact that is responsible for the person death, this can be sickness or disease, or fire burn, or accident on road or in farm or in office."
24,"Ƒomea gblɔna enusi wo vayi edzi le gaƒoƒo mamlɛa ome, eye wo ƒoanu kuɖe ameyinugbea ƒe fukpekpe, kpekpeneŋ alo agbagba dzedze si wo teŋ wɔ hena ameyinugbea ƒe haya haya alo eƒe ta ʋliʋli hafi meteŋ va eme o.
","The family suppose to tell exactly the things that happen at the last moment, like the suffering, the help that the family provide to save his life from death before he died."
25,"To siawɔwɔ me la, amesiwo ƒoƒu kple dumegã kple eƒe ŋtimewo bia na nya akpɔbe vodada me tso eku ƒomea gbɔ loo alo ameaɖe si le fui la gbɔ o mahã.
","From this information, people who stand there with the chief and his speakers will try to ask many questions to check if the family has some responsibility in this death or if this death is connected with another person that willing to short this person life."
26,"Ne esia va va eme nenema be ekua ƒe nya kã ameaɖe alo eku ƒe ƒomea la, wo blana nu nɛ.
","And if is happen that anybody or the death family has some responsibility in this person death, the responsible person must pay a fee."
27,"Neneŋ be ame ana alɛ alo egbɔ alo aha alo nububu wo hã.
","This fee can be goats, sheep and or some specific drinks or other things else."
28,"Esiawo wɔwɔ tutuna kadodo vɔɖi si le ameyinugbea kple amegbagbea dome.
",This kind of action will delete or free the relation between the dead person and the life person.
29,"Le esiawo megbe la, le fiɖa ŋkeke sidzi woa dɔŋu le la, wo hɔna ameyinugbea ƒe ŋtilã kuku le frigo le dɔyɔƒe eye le ŋkekea ƒe fiɛyi me alo zãgã dome la, wo va ɖona kple amekukua ƒe ŋtilã le ekutefea.
","After this meeting which held on Thursday, Friday night will be the vigil (spending all Friday night for the dead person), the dead family will go to the hospital and receive the dead body and in the evening or in the night, the family will arrive with the dead body in the place where they prepare everything for the last exposition of the dead body."
30,"Vɔ hafi eyiyi mawo na vaɖo la, dukɔa mevio kpenaɖe eku ƒomea ŋti he tuna agbadɔ he na etsɔa ƒe kɔnuwo wɔwɔ.
","But before that time, the people from the neighborhood or from the village help the dead family to build some tent or hut for the funerals."
31,"Ŋdɔdɔ dzena egɔme le fiɛyi me eye wo yina edzi vaseɖe ŋdikãnyɛ me.
",The vigil starts from the evening and continues till the next day morning.
32,"Le ga ƒoƒo mawo mela, kɔnuawo va yina ale: gbã la, hɔse tɔwo dzena ŋdɔdɔ gɔme nenyebe ameyinugbea nye kristotɔ, eye wo wɔna misa va senaɖe zã ga wueve godzi eye wo kpana, emegbe la eʋu ƒoƒo geɖe wo va yina edzi, etsona eʋu haƒoƒo si me ameyinugbea nɔ alo eʋu haƒoƒo si eku ƒomea da be woa dodzidzɔ mablɛwo ɖe amekukua ŋuti.
","During this time everything go as follow: firstly, Christian starts the vigil if the dead person is believe in God, and then they observe Mass till midnight, and then the drams music will continue the vigil. This dram groups can be one of the dead person group (means that he belong to this group) or the dead family simply order music to enjoy the last moment of the death."
33,"Vɔ gake, ne ameyinugbea me nye hɔsetɔ wola, ŋdɔdɔa va yina edzi kpakple voduʋu ƒoƒo ɖeɖeko le zã katã me.
","Secondly, if the dead person is belonging to any kind of fetish group, then the whole night will be covered by dram music from the fetish group."
34,"Elebe mia do dzesi be eʋu ƒoƒo sia wo nyena enu tɔxɛ aɖe le Eʋe dukɔ ɖesiaɖe me klui.
","We have to notice that, this kind of specific dram music is very important and common in all Ewe regions."
35,"Wo dzi na exa geɖe wo siwo nyena enya mamlɛwo hena emɔzɔzɔ nyui dodo na ameyinugbea.
",That music from dram tells in a precise and direct way good-bye and good journey to the dead person.
36,"Le zã kãtã me la, wo ɖena emɔ ne amewo kãtã be woateŋ akpɔ ŋtilã kukula zi mablɛtɔe, he ne woateŋ ado mɔzɔzɔ nyui ne, amesiawo ateŋ anye ameyinugbea ƒe ƒomewo alo eƒe hɔlɔwo alo amesiwo kãtã dzibe yewoa do neneŋ ƒe egbe mablɛa ne.
","During the vigil in the memory of the dead person, it is allow for everybody to visit the dead body at his exposition. And those people can be the dead family, the friend, the relations and so on, just an opportunity for them to say personal last good-bye."
37,"Hafi woa ɖemɔ ne amewo be woateŋ akpɔ ŋtila kukula la, wo wɔna kɔnua ɖe si wo yɔna be « abaɖoɖo » si me wo dzrana ŋtila kukuaɖo ɖe abadzi.
","But before this permission for visiting the dead body, they have special ceremony called ""abaɖoɖo "" which simply means to ""prepare the bed "" in which they make sleep the death in some specific way that some time you fill like the person is alive."
38,"Vɔ gake, nenye be amekukua nye vodu hamenɔla la, ŋdɔdɔ kple ameɖiɖi ƒe kɔnuawo vayina ɖe vodua ƒe sewo dzi, gaɖeo mela, eku ƒomea me nɔna vodua ƒe kɔnua ɖewo teƒe oo.
","We must know that, if the dead person is disciple of fetish, the vigil and the burial ceremonies are done following the rule of the fetish, some time the dead family is not allow to follow some ceremonies done by the fetish group."
39,"Elebe mia ɖo ŋku edzi hã be, ne nye be ameyinugbea nye vodusi la, vodu haƒoƒoa me ɖena mɔ be woa dee frigo oo.
","We have to remember also that, if the dead person is a member of fetish group, this group doesn’t allow the dead family to freeze the dead body."
40,"O wɔna neneŋu be ameyinugbea ƒe etsɔ kɔnuawo kaba kaba le ŋkeke etɔ megbe le vodua ƒe ɖoɖowo nu.
",They simply short the term of the funerals during three days and of course according to the fetish rules.
41,"Le ŋkeke evelia si nye memlina ƒe ŋkeke si nyena ŋkeke evelia le etsɔa ƒe kɔnuwo wɔwɔnu la, wo wɔna ame ɖiɖi ƒe kɔnuwo.
","The second day of the funerals is Saturday, is the burial ceremonies day."
